50 0.475498022 0.396285958 1199
60 0.962144651 0.760837392 1746
70 1.4545521743333334 1.278665594 2389
80 1.997181454 1.994784591 3139
90 3.0152007966666665 3.00261619 3998
100 4.282567073 4.165394663 4940
110 5.544397363666666 5.45080273 6008
120 7.196465261 7.145290867 7139
130 9.499929160333334 9.456854504 8336
140 12.695537895000001 12.555462599 9663
150 16.060551501666666 15.943271464 11124
160 19.994815039666666 19.918024661 12717
170 24.469823106666666 24.320261121 14378
180 29.804360054 29.593191835 16131
190 35.123431389 35.014920356 17996
200 40.713121011999995 40.361854674 19953
210 47.854672816333334 47.732458404 22001
220 56.226188878333325 55.913210228 24181
230 66.11942142266668 65.997063039 26407
240 76.19942234366665 75.595408115 28756
250 87.390921483 85.950227232 31168
260 98.380408852 97.709609158 33728
270 111.11006260933334 110.688794527 36342
280 124.15181707833334 123.129769451 39053
5 0.000457107 0.000347659 11
10 0.0031042266666666666 0.002675453 46
15 0.008642989333333335 0.007885543 109
20 0.016518360333333332 0.016416978 185
25 0.031038309 0.030570901 296
30 0.055167829333333335 0.054816955 421
35 0.10245969533333332 0.09561235 579
40 0.16127396466666669 0.159270316 762
45 0.241852301 0.24152222 958
55 0.5223488116666667 0.519423021 1454
65 0.9501294323333332 0.942377073 2038
75 1.6401778116666668 1.629263847 2741
85 2.476603700666667 2.465515975 3547
95 3.483556152333333 3.478130668 4436
105 4.725038205666666 4.685870079 5454
115 6.179743836999999 6.166207987 6548
125 8.095272550666667 8.06005372 7721
135 11.025671753333334 10.961313121 8997
145 14.318930778666667 14.285404224 10382
155 17.58767412766667 17.473063534 11905
165 21.907787085333336 21.815045708 13525
175 26.866068835000004 26.64080445 15241
185 31.888930733333336 31.524022118 17040
195 37.66888507566667 37.567045656 18987
205 45.283891475 45.064926519 20960
215 51.651475723666664 51.600930825 23079
225 59.56285555666667 59.011058102 25281
235 69.74725265833332 69.399510044 27557
245 81.35392026333334 81.036092328 29936
255 93.00639922533334 92.508947179 32441
265 105.63739814566668 105.241594264 35024
275 119.02815714033333 118.308940869 37683
285 132.7435160376667 131.939493641 40443
